	LOR002C	LOR003C	LOR005C	LOR006C	LOR007C	LOR008C	LOR009C	LOR011C	LOR012C	LOR013C	LOR014C	LOR015C	LOR016C	LOR017C	LOR018C	LOR019C	LOR020C	LOR021C	LOR022C	LOR023C	LOR024C	LOR025C	LOR026C	LOR027C	LOR028C	LOR029C	LOR030C	LOR033C	LOR034C	LOR036C	LOR037C	LOR042C	LOR046C	LOR051C	LOR054C	LOR055C	LOR058C	LOR060C	LOR061C	LOR062C	LOR063C	LOR065C	LOR070C	LOR072C	LOR074C	LOR076C	LOR078C	LOR081C	LOR082C	LOR083C	LOR084C	LOR085C	LOR086C	LOR090C	LOR091C	LOR098C	LOR099C	LOR101C	LOR102C	LOR103C	LOR202C	LOR203C	LOR204C	LOR206C	LOR207C	LOR208C	LOR210C	LOR211C	LOR212C	LOR214C	LOR215C	LOR216C	LOR217C	LOR218C	LOR219C	LOR220C	LOR221C	LOR222C	LOR223C	LOR224C	LOR225C	LOR226C	LOR227C	LOR228C	LOR229C	LOR230C	LOR231C	LOR233C	LOR234C	LOR235C	LOR237C	LOR238C	LOR239C	LOR240C	LOR241C	LOR242C	LOR243C	LOR246C	LOR248C	LOR249C	LOR254C	LOR258C	LOR259C	LOR260C	LOR262C	LOR264C	LOR269C	LOR270C	LOR272C	LOR274C	LOR275C	LOR279C	LOR281C	LOR282C	LOR283C	LOR284C	LOR287C	LOR288C	LOR289C	LOR294C	LOR295C	LOR300C	LOR301C	LOR303C
LOR002C	0	0.241608394	0.377254422	0.348166159	0.361499691	0.361700714	0.410189401	0.281340771	0.37836203	0.752515085	0.275315979	0.38510393	0.472269783	0.339017434	0.764155683	0.656478694	0.362653267	0.369403623	0.50857037	0.280085193	0.288814304	0.499180367	0.799459565	0.333329652	0.640818931	0.624071	0.424304084	0.338914569	0.26693783	0.358617384	0.453347488	0.269673864	0.297863116	0.345826631	0.454402768	0.292849285	0.782477912	0.6258087	0.71551296	0.335273968	0.288465663	0.341557155	0.346964386	0.35327065	0.488093145	0.346301629	0.679442125	0.656087948	0.37224042	0.488270502	0.538080814	0.326241447	0.333656282	0.561163137	0.370856722	0.60253201	0.348208926	0.450281721	0.406765766	0.516142566	0.398117007	0.419002395	0.447512067	0.635438669	0.300975957	0.644200704	0.473830064	0.485323154	0.449087118	0.377055548	0.479275454	0.317030717	0.437032979	0.368156404	0.451110393	0.285198272	0.474239593	0.654994292	0.346744323	0.40608295	0.352717794	0.332579634	0.43013647	0.372228713	0.402714721	0.333679851	0.393290436	0.368283449	0.298397444	0.442995781	0.257251441	0.328452494	0.329395393	0.337618669	0.746907243	0.662142712	0.401851433	0.410923936	0.325136566	0.478812113	0.447934877	0.382268015	0.444470113	0.486001871	0.307179964	0.394714327	0.431979346	0.363592367	0.432878802	0.332006877	0.546379877	0.39762325	0.771966961	0.518458361	0.299207047	0.720449136	0.30070119	0.394868342	0.529993783	0.317065246	0.56561887	0.445947942	0.353345624	0.28889282
LOR003C	0.241608394	0	0.338698109	0.31026271	0.354304676	0.300331918	0.385609821	0.19452061	0.332563137	0.742840507	0.235289811	0.365290968	0.427456747	0.295810764	0.740460637	0.637964877	0.332515186	0.325629094	0.468132261	0.253207173	0.239079373	0.481632265	0.777751156	0.287548807	0.610116632	0.590951791	0.398547713	0.292542785	0.250716686	0.3260565	0.425391465	0.226457433	0.243360277	0.314665057	0.436010766	0.308158673	0.759996637	0.666017165	0.691971155	0.281231511	0.218398805	0.297350571	0.289444103	0.312862208	0.473842017	0.303178006	0.676108763	0.633855884	0.326410084	0.439976735	0.485158877	0.290961214	0.30251232	0.533622808	0.324558105	0.555479052	0.315566859	0.394377582	0.374391284	0.483780321	0.319041278	0.394881289	0.420573365	0.595415488	0.219380184	0.618420143	0.460186728	0.47086603	0.420212711	0.327097191	0.465556687	0.259941845	0.404965596	0.313585708	0.43110144	0.226642148	0.437654876	0.629142806	0.300463473	0.376647957	0.385354379	0.287879729	0.402054675	0.328656832	0.398190254	0.290076761	0.35363001	0.329721772	0.244149202	0.415582869	0.193215975	0.299678641	0.276137984	0.313531749	0.729138491	0.651481049	0.368796233	0.367088739	0.271133721	0.454578982	0.415113364	0.334499827	0.416482917	0.454167339	0.255206617	0.35286134	0.403577789	0.331747953	0.406545645	0.30252291	0.558449263	0.360894014	0.740456671	0.538116687	0.255532884	0.690129306	0.227119379	0.351857961	0.509629865	0.253344843	0.504792042	0.411666652	0.300002474	0.319158702
LOR005C	0.377254422	0.338698109	0	0.222651912	0.113720048	0.269867472	0.148488789	0.285117058	0.110642187	0.831167652	0.357150463	0.491920383	0.507981359	0.112902413	0.829420955	0.778276311	0.474270371	0.323900324	0.60417539	0.234537318	0.396302771	0.611686486	0.846302685	0.331773743	0.702726391	0.755152753	0.150539129	0.448354767	0.37578521	0.481392561	0.559864253	0.272414295	0.231144039	0.444830842	0.596012047	0.388422643	0.857382726	0.819779173	0.74107673	0.254200366	0.258759747	0.103843999	0.264446644	0.20318541	0.618660123	0.418638743	0.788185865	0.764683029	0.392847492	0.575790713	0.604813925	0.435342622	0.46632261	0.67548997	0.171903275	0.648118724	0.123646722	0.163107288	0.168994371	0.630852932	0.234416195	0.152691355	0.160465519	0.735523414	0.249485679	0.767644107	0.578750321	0.595411177	0.562050008	0.192472078	0.546294793	0.248898703	0.167702243	0.11947599	0.446512373	0.225932629	0.591369048	0.756500062	0.141792049	0.132837991	0.504141027	0.29779303	0.143224698	0.232630151	0.453179992	0.170624743	0.227438688	0.107868408	0.259355489	0.158486874	0.294852438	0.416579595	0.234826626	0.297839352	0.823079892	0.807205931	0.488000454	0.150173228	0.327428745	0.189014124	0.179838874	0.123024208	0.156185108	0.601235405	0.286199171	0.109035309	0.152210969	0.139342891	0.539218898	0.296520438	0.712679137	0.121804798	0.838406395	0.591546803	0.274461158	0.82188189	0.34911911	0.124450717	0.594186931	0.209540383	0.682432074	0.156148621	0.130490051	0.183509175
LOR006C	0.348166159	0.31026271	0.222651912	0	0.251018823	0.248837663	0.255554644	0.238187862	0.22713947	0.791193001	0.356612139	0.471414452	0.460298459	0.200666107	0.781250696	0.752183695	0.40690736	0.281168217	0.537413633	0.21531716	0.363280524	0.588980371	0.822499452	0.329485165	0.640473205	0.69851277	0.25534722	0.409982489	0.375653937	0.458005729	0.464655824	0.245340423	0.232531558	0.367553331	0.525776827	0.382109146	0.780097583	0.799606385	0.750246755	0.258473381	0.254997955	0.191718855	0.210992575	0.213743308	0.573613643	0.359209252	0.74902759	0.664890633	0.398508448	0.538599876	0.520597525	0.422688207	0.444316215	0.635946968	0.209838115	0.610802888	0.206913417	0.272339132	0.239550663	0.561244743	0.20702849	0.265270669	0.271430083	0.692410891	0.226818986	0.70725196	0.566073271	0.551252069	0.513581377	0.207101193	0.510645319	0.242091475	0.273963063	0.228320428	0.420347334	0.207382154	0.569111076	0.71549788	0.209349278	0.247638558	0.493495118	0.279839007	0.268582039	0.223380881	0.469835113	0.189288564	0.248306226	0.206613742	0.227959474	0.273397027	0.279508357	0.380570699	0.207305652	0.278805209	0.777422202	0.786760098	0.446078942	0.247972642	0.322671479	0.301046112	0.27825908	0.23633457	0.275044745	0.51862619	0.219748284	0.220715953	0.259954616	0.236824791	0.493039762	0.283650896	0.696996072	0.233565147	0.7851183	0.605979426	0.272891886	0.753250149	0.326659459	0.24290975	0.552022901	0.211343543	0.620863945	0.262703654	0.211558755	0.221271681
LOR007C	0.361499691	0.354304676	0.113720048	0.251018823	0	0.28477917	0.125005683	0.300529677	0.109204946	0.849602849	0.364425714	0.500439963	0.530556241	0.126835506	0.844208396	0.783464355	0.507149517	0.346103573	0.64006123	0.245364063	0.413625798	0.618347614	0.879646867	0.342851182	0.714218517	0.784627048	0.133376573	0.4768627	0.371276664	0.492301213	0.583583117	0.287218814	0.244657609	0.472238823	0.605993887	0.372988183	0.869269543	0.812911772	0.765268909	0.283470038	0.287299883	0.129830976	0.277439999	0.219059802	0.62497944	0.463126089	0.785144094	0.775308485	0.421498171	0.618967181	0.632933273	0.445592185	0.492089275	0.687400711	0.180445212	0.671637761	0.114604608	0.142292008	0.179440947	0.647516167	0.264796114	0.12467992	0.144360832	0.762788855	0.281775587	0.778685971	0.59860034	0.610602555	0.583554586	0.210135961	0.549045968	0.271479239	0.139951906	0.119872686	0.473989335	0.239624229	0.622993562	0.777906716	0.171433503	0.118180761	0.504184322	0.313771299	0.122606367	0.243881505	0.471516248	0.201406309	0.24831628	0.112611998	0.279011507	0.140806191	0.310168164	0.430277565	0.255637655	0.304673045	0.829143966	0.82036401	0.497796641	0.129747492	0.34531489	0.16315091	0.151581705	0.13468196	0.13492034	0.615776532	0.299700841	0.126915181	0.133892103	0.147898277	0.543751003	0.29773635	0.700603974	0.111388316	0.852128397	0.576651479	0.281958739	0.836398906	0.37127718	0.109733476	0.612482201	0.231022443	0.697227643	0.146148778	0.148360641	0.165094591
LOR008C	0.361700714	0.300331918	0.269867472	0.248837663	0.28477917	0	0.293736957	0.267430555	0.257967161	0.798424897	0.335804537	0.397727306	0.41229396	0.246880929	0.827246808	0.735126363	0.433022457	0.314881933	0.555618034	0.236195596	0.30458594	0.532275813	0.838598249	0.240597791	0.583231069	0.690278109	0.305427947	0.373635454	0.365672415	0.434516816	0.513812897	0.239635621	0.215155045	0.397558903	0.545417706	0.280327413	0.737911819	0.737382203	0.76326175	0.260027599	0.23914021	0.250661221	0.239844707	0.260865204	0.589453546	0.4070975	0.749531142	0.643432642	0.298134835	0.549417101	0.582729712	0.370874597	0.42041165	0.650028494	0.263438356	0.547624674	0.26142785	0.298710513	0.291404912	0.510708651	0.161699033	0.302608276	0.320631658	0.709930326	0.215912583	0.667847061	0.526187787	0.533655595	0.519456777	0.269859181	0.503508277	0.172627836	0.270124734	0.267113187	0.459000528	0.232054979	0.529543776	0.712801173	0.244760326	0.287105554	0.496663498	0.307581228	0.302396061	0.191512062	0.373851217	0.244239818	0.286373674	0.276068033	0.243530366	0.313932527	0.262007784	0.397739475	0.23739029	0.279882222	0.769926491	0.764523468	0.481179729	0.288501082	0.311614388	0.344211431	0.291071342	0.270927208	0.314060929	0.559069429	0.243320638	0.288601805	0.312324518	0.271614302	0.498726425	0.264389987	0.653717998	0.278141228	0.749753394	0.6053418	0.26508874	0.791970767	0.296242655	0.269220045	0.566118251	0.217672953	0.632037975	0.31365499	0.241770288	0.269372471
LOR009C	0.410189401	0.385609821	0.148488789	0.255554644	0.125005683	0.293736957	0	0.331403403	0.12769424	0.856045167	0.398369941	0.543598097	0.566892604	0.127318597	0.852658805	0.822845239	0.508806913	0.32897124	0.63872949	0.255878573	0.42219242	0.663034485	0.893697993	0.360398553	0.718261233	0.800482707	0.115343109	0.494633285	0.408904339	0.533357769	0.594250583	0.322463159	0.268116905	0.477370545	0.626874098	0.40036264	0.879971042	0.88075852	0.803125729	0.303738143	0.301133857	0.130044885	0.259128226	0.24093348	0.660475143	0.47428713	0.797304006	0.776084492	0.447581309	0.644620718	0.638153796	0.483300695	0.53111956	0.722038799	0.169821784	0.70770654	0.111241429	0.061118174	0.1675004	0.658312375	0.261603106	0.047658582	0.067758314	0.800622994	0.278988154	0.795642854	0.629424087	0.639639841	0.599068976	0.192303414	0.527207012	0.291952802	0.050836223	0.114918619	0.474977774	0.275214449	0.660950471	0.811023378	0.156450927	0.06484369	0.567162308	0.339284215	0.04628573	0.257493071	0.505416487	0.194939252	0.274835702	0.123901879	0.293225554	0.11524864	0.338806387	0.437888788	0.240950599	0.304431223	0.813852006	0.869594475	0.532792982	0.091586988	0.366261958	0.080408696	0.06033689	0.164404806	0.052151978	0.614260019	0.296467335	0.156589439	0.076414568	0.133659586	0.57461095	0.301717236	0.745222155	0.093377974	0.885753892	0.632932942	0.310247607	0.87058685	0.365616457	0.075736321	0.593249651	0.247472559	0.734078567	0.064347498	0.145015116	0.225985594
LOR011C	0.281340771	0.19452061	0.285117058	0.238187862	0.300529677	0.267430555	0.331403403	0	0.288384172	0.765151821	0.254469323	0.357620186	0.395190136	0.24732387	0.730001089	0.667861294	0.354187951	0.239247113	0.460120439	0.21472818	0.277343469	0.499846948	0.769846588	0.27271852	0.618788468	0.644669021	0.340170018	0.335799312	0.251812724	0.36855795	0.428553453	0.17703317	0.217682146	0.324946808	0.447621272	0.340349168	0.754422749	0.717780339	0.698551932	0.222686226	0.195654698	0.251790366	0.239251785	0.244306446	0.45800724	0.292748666	0.704757953	0.636514439	0.323727585	0.464107039	0.484149866	0.326092773	0.343125735	0.528732813	0.268820636	0.539026318	0.267398968	0.340102673	0.326850152	0.500833241	0.257877865	0.34296926	0.370182765	0.590575742	0.214664078	0.614052143	0.483610447	0.477999998	0.450788291	0.253591706	0.488868417	0.200987448	0.363694129	0.28690472	0.416003645	0.175750549	0.49005401	0.605375592	0.262604727	0.324340579	0.407484293	0.209660705	0.349798697	0.251273714	0.419256029	0.235345099	0.308255544	0.249144396	0.168977987	0.363924589	0.189652407	0.320465133	0.257468423	0.264403528	0.75413815	0.686374151	0.343299182	0.318782457	0.243730135	0.401065	0.374508565	0.259207318	0.363613078	0.451823818	0.211156188	0.246254801	0.348530637	0.295307225	0.387062453	0.273349422	0.61633276	0.310922323	0.691439099	0.538532636	0.210487128	0.674410586	0.240924421	0.29960513	0.535066639	0.207678286	0.519249817	0.360477838	0.269286996	0.265998733
LOR012C	0.37836203	0.332563137	0.110642187	0.22713947	0.109204946	0.257967161	0.12769424	0.288384172	0	0.830757431	0.361689452	0.504338906	0.521982702	0.116023091	0.834567027	0.791140072	0.480830063	0.332872535	0.612098448	0.231968747	0.380066679	0.629994294	0.890249515	0.341024935	0.701971042	0.765874738	0.131190857	0.451856822	0.384638039	0.493925761	0.56614222	0.295753988	0.239812552	0.453262244	0.590351885	0.391118527	0.8635784	0.841854189	0.752807926	0.2605292	0.255465949	0.113425812	0.236960817	0.206430619	0.626798581	0.443145846	0.788630705	0.764521742	0.402623509	0.610194014	0.597327868	0.450631164	0.483426444	0.686155627	0.167190342	0.648362568	0.097615488	0.131859333	0.168404061	0.636888761	0.241465838	0.120994916	0.143691895	0.758675009	0.248067851	0.761060487	0.605437929	0.612472942	0.572198464	0.200058496	0.541255982	0.266477712	0.148832672	0.113199986	0.457179147	0.247934367	0.618565026	0.780818065	0.132105877	0.10781583	0.534514821	0.30609646	0.124892576	0.251016751	0.475110596	0.174064253	0.239854623	0.122469862	0.270488167	0.139286251	0.302647631	0.422892833	0.237074771	0.302783015	0.816775913	0.830746177	0.50946762	0.113577749	0.34740784	0.168714911	0.161106331	0.121345182	0.139984585	0.597927862	0.286514031	0.134076713	0.133250072	0.13075383	0.554754773	0.29338303	0.717904452	0.107539954	0.857757173	0.612515182	0.27709109	0.845509684	0.327800088	0.089179272	0.599094235	0.221846572	0.702933857	0.136853935	0.128368165	0.199192827
LOR013C	0.752515085	0.742840507	0.831167652	0.791193001	0.849602849	0.798424897	0.856045167	0.765151821	0.830757431	0	0.773583728	0.758496037	0.7768528	0.799801335	0.784769621	0.758182746	0.744953772	0.828439956	0.733127447	0.784372194	0.762987219	0.760203879	0.844454817	0.79932183	0.785551516	0.726060886	0.868208843	0.733828165	0.78716671	0.7444928	0.75434949	0.771555758	0.787646673	0.764199175	0.737545649	0.797542361	0.800243174	0.769862994	0.793518383	0.797606142	0.770142497	0.798945735	0.817450907	0.826331329	0.747600471	0.746927928	0.778075161	0.783109757	0.789833617	0.739313166	0.772856574	0.715380977	0.728796223	0.752229774	0.81659571	0.774059928	0.816389133	0.883400109	0.847267157	0.745728697	0.824227542	0.868608971	0.884533344	0.736974988	0.766744538	0.753316147	0.771317868	0.757439787	0.755919818	0.831515674	0.837955637	0.779183785	0.868792263	0.826298464	0.857732772	0.770929383	0.708804744	0.759609861	0.797970145	0.852786383	0.759841355	0.806571705	0.869555925	0.826355493	0.797357744	0.79270377	0.847532692	0.837743504	0.784048807	0.877235156	0.752054106	0.7854053	0.798872374	0.811513639	0.807819022	0.760324965	0.779827644	0.855000362	0.80034855	0.911965477	0.878257993	0.833827859	0.875989461	0.763756394	0.779101558	0.845530123	0.872870326	0.827923219	0.776212815	0.808878311	0.773038419	0.833542754	0.802697489	0.812632264	0.790838686	0.781146875	0.783357135	0.839689025	0.802879143	0.795423286	0.755224649	0.878425938	0.807286576	0.818468436
LOR014C	0.275315979	0.235289811	0.357150463	0.356612139	0.364425714	0.335804537	0.398369941	0.254469323	0.361689452	0.773583728	0	0.285052739	0.434533121	0.320963231	0.774835303	0.504581971	0.373767381	0.344237458	0.493772768	0.265061626	0.286883481	0.341354296	0.779320899	0.300881068	0.636502901	0.645753722	0.407366791	0.341578367	0.168289823	0.247785088	0.464693225	0.247195131	0.251586231	0.347974149	0.454951225	0.310123291	0.787631556	0.604073788	0.558478762	0.282980615	0.264716422	0.32765761	0.316523983	0.205504947	0.463566361	0.335134312	0.690524534	0.667831746	0.304550492	0.480181195	0.550496635	0.276432375	0.32239052	0.556686895	0.348316673	0.418266192	0.342684355	0.433659909	0.401907206	0.528690352	0.360730235	0.399835177	0.435270247	0.594576905	0.283866782	0.646778165	0.469337571	0.340353615	0.447632666	0.345048595	0.475836386	0.255634178	0.406643058	0.355820157	0.448174704	0.250961166	0.470372921	0.581197901	0.333183644	0.389050613	0.385155234	0.27040788	0.416077098	0.269086197	0.390883044	0.313737498	0.379982098	0.342809065	0.263864292	0.429841849	0.222715915	0.312155651	0.305612517	0.334343718	0.743523326	0.652220611	0.24159109	0.392378141	0.154529937	0.464716302	0.417773542	0.342380544	0.429804848	0.492808444	0.28740688	0.349686436	0.423324157	0.341614995	0.347614658	0.316541444	0.577632822	0.378465071	0.75041973	0.398095404	0.216583169	0.572656193	0.265267316	0.369695835	0.529873147	0.253796564	0.541857134	0.427069174	0.328635921	0.33266741
LOR015C	0.38510393	0.365290968	0.491920383	0.471414452	0.500439963	0.397727306	0.543598097	0.357620186	0.504338906	0.758496037	0.285052739	0	0.320571668	0.45883772	0.735099063	0.529647425	0.373659786	0.465748454	0.424451392	0.388706796	0.365886337	0.310109928	0.749082997	0.359904074	0.527970637	0.549917218	0.54538095	0.318184896	0.278780412	0.247766071	0.411920895	0.342229434	0.384403516	0.358312084	0.379350635	0.328722695	0.666573271	0.512952139	0.603742512	0.410251031	0.410169871	0.455748453	0.467175066	0.373260708	0.375598662	0.370099135	0.678983512	0.556590689	0.311150994	0.419329093	0.510753411	0.274782419	0.26134167	0.488031076	0.482935871	0.372276228	0.473775841	0.576499411	0.543105954	0.414488577	0.418424264	0.544434896	0.579362517	0.502745452	0.422181834	0.515466103	0.372753237	0.333519791	0.399151916	0.472155737	0.50793588	0.307302296	0.53559475	0.492886606	0.535685385	0.37161267	0.375791595	0.47539963	0.472818319	0.53598823	0.347223603	0.384103792	0.561714908	0.344695296	0.340586328	0.440713115	0.512301487	0.471373237	0.387994881	0.574409935	0.345820853	0.381239315	0.451510853	0.463765842	0.727275506	0.551361541	0.282959953	0.528063144	0.32288646	0.611046517	0.554600951	0.472212955	0.572747681	0.454677338	0.413475378	0.468328432	0.563321313	0.478707507	0.288563912	0.453128772	0.482192165	0.518375606	0.590615902	0.434482229	0.336720831	0.594284406	0.405739366	0.516959766	0.523038605	0.38917253	0.449394863	0.571029754	0.463867728	0.466268235
LOR016C	0.472269783	0.427456747	0.507981359	0.460298459	0.530556241	0.41229396	0.566892604	0.395190136	0.521982702	0.7768528	0.434533121	0.320571668	0	0.50248095	0.773183217	0.650005002	0.399235365	0.495137693	0.463048928	0.466880027	0.418578831	0.449034455	0.743834428	0.341200997	0.330455073	0.61506702	0.567211438	0.356662264	0.445062059	0.367131046	0.382442027	0.383649397	0.443195482	0.371888863	0.447897723	0.402726846	0.47640053	0.657136251	0.687677408	0.465213871	0.449051259	0.500184475	0.457688802	0.475142387	0.469055434	0.390311532	0.708942415	0.421229124	0.21606846	0.466669738	0.491024093	0.370527485	0.356584672	0.525358798	0.51394754	0.437002396	0.508740311	0.586910198	0.5484245	0.322364521	0.408098397	0.573805229	0.588961857	0.592737443	0.454868298	0.591795784	0.455157972	0.44971268	0.460627226	0.503472989	0.53621398	0.352566605	0.54906345	0.529294973	0.528419355	0.428384899	0.449753254	0.583171976	0.497305084	0.560703698	0.406950218	0.440662227	0.576516321	0.399515566	0.222194095	0.479843273	0.533507824	0.492449004	0.434201235	0.590641801	0.403463319	0.462685314	0.483390346	0.51553859	0.74068954	0.678406652	0.395542154	0.558428822	0.430284567	0.624134509	0.568724437	0.497823875	0.591098814	0.462798544	0.441335592	0.48449457	0.581350728	0.539787594	0.376306076	0.511165793	0.615093357	0.54076837	0.461457241	0.548259451	0.449130895	0.668109928	0.462487736	0.536795496	0.53536902	0.433601988	0.485352015	0.583878648	0.492273419	0.497742226
LOR017C	0.339017434	0.295810764	0.112902413	0.200666107	0.126835506	0.246880929	0.127318597	0.24732387	0.116023091	0.799801335	0.320963231	0.45883772	0.50248095	0	0.784642842	0.735644147	0.419402407	0.284499592	0.548818191	0.179467356	0.347165367	0.580174789	0.843560694	0.304041986	0.654376441	0.706649485	0.147303644	0.397301655	0.331846478	0.43784251	0.51515417	0.24342786	0.186937658	0.394180695	0.533093923	0.352968301	0.806703828	0.787775509	0.742818132	0.246580108	0.228417374	0.06739224	0.213631054	0.201214354	0.570560406	0.384670565	0.729346818	0.696811839	0.395982066	0.551928764	0.555846107	0.396232829	0.435321036	0.630123758	0.116050082	0.636107191	0.075298757	0.167814302	0.148350033	0.564096125	0.235048451	0.146751938	0.165585588	0.707036963	0.208610843	0.717948569	0.546317159	0.570690833	0.503916439	0.15689655	0.496751474	0.229022341	0.158751418	0.086273353	0.44684331	0.192356345	0.565239368	0.720942747	0.105535302	0.123530514	0.480122406	0.285359159	0.147200145	0.230116608	0.458831196	0.137412448	0.24155935	0.096822911	0.214709117	0.156828032	0.25535695	0.363572536	0.17417086	0.243215676	0.766529578	0.771751278	0.448906504	0.133861684	0.307973335	0.194582649	0.167117068	0.130452486	0.158988981	0.533596472	0.221465396	0.12580524	0.149907837	0.098170593	0.493810775	0.239005722	0.663792758	0.114840552	0.810126123	0.576446576	0.2421207	0.785492904	0.30032739	0.115961753	0.54983792	0.177283707	0.638285834	0.154557064	0.09639546	0.174158147
LOR018C	0.764155683	0.740460637	0.829420955	0.781250696	0.844208396	0.827246808	0.852658805	0.730001089	0.834567027	0.784769621	0.774835303	0.735099063	0.773183217	0.784642842	0	0.745760664	0.722261481	0.798433477	0.6951008	0.76679973	0.768186949	0.755049315	0.821849613	0.796631219	0.733927019	0.731105419	0.79726777	0.720044424	0.728189986	0.740216011	0.675535261	0.765491628	0.790690838	0.719020971	0.700452617	0.808658712	0.770154826	0.773075839	0.60245069	0.800443373	0.785315542	0.794482985	0.799780932	0.815139262	0.696036014	0.72238975	0.63438419	0.709347996	0.804269918	0.72891477	0.427446059	0.735226121	0.709494447	0.685155085	0.788775594	0.743503551	0.791933194	0.883968735	0.844293269	0.716984483	0.845877722	0.858210795	0.839669957	0.686771091	0.771416587	0.646667872	0.76497615	0.774165135	0.717199595	0.815399078	0.78109451	0.783315138	0.888450851	0.819778126	0.747916595	0.759552123	0.703563692	0.720259828	0.799853342	0.849711503	0.757632441	0.801339907	0.870475504	0.835617063	0.816595714	0.807456299	0.661324779	0.839987809	0.756243116	0.873105149	0.748513493	0.785431062	0.794993693	0.790282832	0.655854641	0.731974501	0.719607869	0.848655261	0.806037206	0.910083815	0.891526918	0.818557084	0.876069388	0.652633699	0.721084961	0.813175535	0.850549565	0.828816702	0.636022562	0.818628936	0.765257195	0.827984285	0.694158534	0.794495371	0.800124245	0.657462799	0.783018919	0.829443169	0.735320709	0.794927095	0.696188005	0.874975012	0.819930216	0.805129715
LOR019C	0.656478694	0.637964877	0.778276311	0.752183695	0.783464355	0.735126363	0.822845239	0.667861294	0.791140072	0.758182746	0.504581971	0.529647425	0.650005002	0.735644147	0.745760664	0	0.625121148	0.773029367	0.611737662	0.678148031	0.619311843	0.422767318	0.737014881	0.683608805	0.696254293	0.553898048	0.836070815	0.578117881	0.565189054	0.402526863	0.604414131	0.619071379	0.640197787	0.616311489	0.581079717	0.714018572	0.702284185	0.479045098	0.338517948	0.700888135	0.677093143	0.745858002	0.728507573	0.635811853	0.552412687	0.637786764	0.687206451	0.624427565	0.672014947	0.575808872	0.700078631	0.520251621	0.518749733	0.589866127	0.769670816	0.494893118	0.763752852	0.862453431	0.809378953	0.574001606	0.769361661	0.840124639	0.857048825	0.508857964	0.69443205	0.587189644	0.588577061	0.448066807	0.589642873	0.780256501	0.770366205	0.646442819	0.815846903	0.773089181	0.829572893	0.6419084	0.505527296	0.52210685	0.751410261	0.823276555	0.568350568	0.684400132	0.841678485	0.672487459	0.705463374	0.731831434	0.803800661	0.770205748	0.669665115	0.852280654	0.591903233	0.674612418	0.695023183	0.7197824	0.730578706	0.515629781	0.508673904	0.826491814	0.555485971	0.890808885	0.835149127	0.774746806	0.854963262	0.644385152	0.659917387	0.779163907	0.827372241	0.758806118	0.539352481	0.732415986	0.536663251	0.802154119	0.696037811	0.337215379	0.632342623	0.454355633	0.674400024	0.80543475	0.747760049	0.665037625	0.51686964	0.85236756	0.748864906	0.746667869
LOR020C	0.362653267	0.332515186	0.474270371	0.40690736	0.507149517	0.433022457	0.508806913	0.354187951	0.480830063	0.744953772	0.373767381	0.373659786	0.399235365	0.419402407	0.722261481	0.625121148	0	0.412390723	0.428790228	0.384367997	0.323019264	0.460711639	0.72355541	0.40771407	0.578499086	0.537890379	0.522245354	0.26066838	0.37961177	0.307889532	0.340786247	0.319540305	0.354387425	0.24705985	0.420864756	0.421915936	0.723915212	0.636954887	0.693151603	0.432700581	0.369381891	0.427978504	0.411914529	0.454072355	0.463634824	0.287031766	0.642317469	0.549190904	0.399411172	0.414717829	0.457270527	0.310812304	0.297581962	0.494965371	0.445707862	0.524824777	0.435407528	0.548765685	0.48294403	0.458212233	0.44634835	0.529852391	0.544827347	0.553097992	0.361630101	0.598770029	0.424696607	0.426116175	0.361285681	0.416786856	0.447012771	0.370990161	0.52084531	0.460135696	0.468604357	0.356947687	0.405009724	0.562802476	0.431663292	0.500592957	0.365715775	0.406054455	0.529935169	0.434331572	0.430275909	0.401204357	0.495943065	0.440986031	0.353784309	0.539888356	0.305220096	0.356128363	0.362461516	0.40964967	0.696114003	0.632935119	0.331674785	0.503649743	0.394170546	0.581440768	0.530675577	0.488021607	0.541255326	0.419467877	0.346677051	0.47259844	0.531368761	0.456394427	0.376068691	0.423643443	0.561469974	0.474395503	0.687441929	0.532034278	0.3979252	0.622611527	0.355545996	0.491177894	0.482264577	0.362531095	0.474514593	0.536025043	0.423988335	0.458545332
